Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2008,36.6
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2009,36.1
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2010,35.7
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2011,35.3
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2012,35.6
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2013,35.7
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2014,35.5
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2015,34.7
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2016,33.6
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,33.5
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2018,33.8
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2019,34.9
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2020,34.7
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2021,33.2
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2022,31.4
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2001,32.6
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2002,33.4
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2003,32.0
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2004,31.4
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2005,28.4
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2006,26.9
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2007,25.8
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2008,25.0
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2009,24.7
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2010,24.1
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2011,23.3
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2012,22.2
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2013,21.7
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2014,21.7
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2015,21.9
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2016,22.5
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,23.3
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2018,23.6
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2019,23.7
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2020,23.5
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2021,23.9
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2022,23.8
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2001,21.0
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2002,19.3
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2003,18.2
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2004,18.0
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2005,18.6
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2006,19.1
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2007,19.4
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2008,19.7
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2009,19.7
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2010,20.4
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2011,21.1
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2012,22.4
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2013,24.4
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2014,27.9
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2015,33.3
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2016,37.5
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,38.9
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2018,38.4
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2019,37.3
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2020,37.1
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2021,36.8
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2022,36.9
